model,provider,device_label,batch_size,measured_runs,energy_blocks,mean_ms,p50_ms,p95_ms,p99_ms,std_ms,cv,mean_rse,throughput_rps,per_request_ms,avg_power_w,gross_energy_per_batch_j,gross_energy_per_request_j,energy_per_batch_j,energy_per_request_j,energy_gross_cv,energy_net_cv,max_temp_c,energy_basis,latency_runtime_cv_pass,latency_mean_rse_pass,energy_pass,quality_status,status,deterministic_profile_allowed,stochastic_profile_allowed,padding_policy,source_profile,source_run,measurement_boundary,power_mode
efficientnet_b0,m3_mps,Apple M3 MacBook Air,1,500,5,12.748496240470558,12.294437969103456,15.031267062295226,16.45831662695855,1.1647856029819588,0.0913665095091219,0.0040860345225855,78.44062398712282,12.748496240470558,6.922946666666666,0.0797441554848693,0.0797441554848693,0.0782698089994445,0.0782698089994445,0.0198004668264954,0.0200458962381458,,net,True,True,True,strict_pass,ok,True,True,none,apple_m3_multidnn_20260714,primary_full,combined_soc_compute_power,native_fanless
efficientnet_b0,m3_mps,Apple M3 MacBook Air,2,500,5,12.430845979135484,12.062771013006568,14.089120842982082,14.703474396374077,0.8535069504468736,0.0686604074959532,0.0030705867704757,160.89009576314388,6.215422989567742,8.232426666666665,0.0970093119978908,0.0485046559989454,0.0955013588519368,0.0477506794259684,0.0388280367520327,0.0392765672806022,,net,True,True,True,strict_pass,ok,True,True,none,apple_m3_multidnn_20260714,primary_full,combined_soc_compute_power,native_fanless
efficientnet_b0,m3_mps,Apple M3 MacBook Air,4,500,5,13.00623352266848,12.855249573476613,14.216320647392418,15.428516131360082,0.7379806201637943,0.0567405328281683,0.0025375137696668,307.5448394055378,3.25155838066712,12.7186,0.161164517194118,0.0402911292985295,0.159542734039642,0.0398856835099105,0.0226322877496754,0.0227204554447741,,net,True,True,True,strict_pass,ok,True,True,none,apple_m3_multidnn_20260714,primary_full,combined_soc_compute_power,native_fanless
efficientnet_b0,m3_mps,Apple M3 MacBook Air,8,500,5,23.78346325876192,23.68637500330805,25.09771652985364,26.04161994997412,1.0548275037110022,0.0443512995661975,0.0019834504144094,336.3681694697164,2.972932907345239,11.42392,0.2736681322654481,0.034208516533181,0.2705992826405087,0.0338249103300635,0.0246675067101747,0.0246660376285827,,net,True,True,True,strict_pass,ok,True,True,none,apple_m3_multidnn_20260714,primary_full,combined_soc_compute_power,native_fanless
efficientnet_b0,m3_mps,Apple M3 MacBook Air,16,500,5,46.62761734798551,46.03897931519896,49.36798269627616,65.25378977879879,4.575031201523108,0.0981184856043425,0.0043879920732128,343.1442760755019,2.914226084249094,9.668186666666667,0.4471241934178565,0.027945262088616,0.4412053951264451,0.0275753371954028,0.0342117665379601,0.0345828507104175,,net,True,True,True,strict_pass,ok,True,True,none,apple_m3_multidnn_20260714,primary_full,combined_soc_compute_power,native_fanless
efficientnet_b0,m3_mps,Apple M3 MacBook Air,32,500,5,108.34192359400912,105.62720848247407,129.1892374982126,134.56032184883952,10.798108623855107,0.0996669457736321,0.0044572413171925,295.36119480316734,3.3856851123127853,9.235613333333331,0.8981282112269229,0.0280665066008413,0.8856689056205649,0.0276771533006426,0.0696463877097829,0.0699005682090622,,net,True,True,True,strict_pass,ok,True,True,none,apple_m3_multidnn_20260714,primary_full,combined_soc_compute_power,native_fanless
efficientnet_b0,rtx3060_cuda,NVIDIA GeForce RTX 3060 Laptop GPU,1,500,5,6.2821433999999625,6.223749999998418,7.155630000000278,7.821202999999244,0.508150087490275,0.0808880114851052,0.0036174218449095,159.181339286207,6.2821433999999625,27.644696506255976,0.1895911505299018,0.1895911505299018,0.0782830352918307,0.0782830352918307,0.0236483047140314,0.0055623784075619,61.0,net,True,True,True,strict_pass,ok,True,True,none,rtx3060_multidnn_20260714,analysis_ready_primary_or_disclosed_retest,gpu_board_compute_power,observed_wddm_no_fixed_limit_claim
efficientnet_b0,rtx3060_cuda,NVIDIA GeForce RTX 3060 Laptop GPU,2,500,5,6.15826180000002,6.0536500000001325,7.030969999999037,7.616837999999965,0.4918734142446168,0.0798721181753941,0.0035719897149415,324.76696589937006,3.07913090000001,47.655392700471545,0.3482751643164636,0.1741375821582318,0.2313856175976586,0.1156928087988293,0.0527217159932784,0.0797997952927398,67.0,net,True,True,True,strict_pass,ok,True,True,none,rtx3060_multidnn_20260714,analysis_ready_primary_or_disclosed_retest,gpu_board_compute_power,observed_wddm_no_fixed_limit_claim
efficientnet_b0,rtx3060_cuda,NVIDIA GeForce RTX 3060 Laptop GPU,4,500,5,6.295305200000016,6.153550000000507,7.241305000003706,7.875915000004807,0.5251904284856661,0.0834257294603706,0.0037309120429179,635.3941346640335,1.573826300000004,81.40549473458545,0.6208023766797404,0.1552005941699351,0.4969361597931643,0.124234039948291,0.046161372721717,0.0462749562927988,79.0,net,True,True,True,strict_pass,ok,True,True,none,rtx3060_multidnn_20260714,analysis_ready_primary_or_disclosed_retest,gpu_board_compute_power,observed_wddm_no_fixed_limit_claim
efficientnet_b0,rtx3060_cuda,NVIDIA GeForce RTX 3060 Laptop GPU,8,500,5,7.457218399999832,7.405299999998505,7.914714999999362,8.47457200000079,0.3389004081753966,0.0454459545097142,0.0020324048717216,1072.786067255343,0.932152299999979,83.53618487861226,0.698379855605868,0.0872974819507335,0.5627061603212121,0.0703382700401515,0.0159057624050444,0.0122342549911149,84.0,net,True,True,True,strict_pass,ok,True,True,none,rtx3060_multidnn_20260714,analysis_ready_primary_or_disclosed_retest,gpu_board_compute_power,observed_wddm_no_fixed_limit_claim
